sale_id,sale_date,amount,product
1,2010-11-15,95.17,Whatsit
2,2015-3-14,58.96,Thingamajig
3,1971-4-23,42.8,Doohickey
4,2022-10-11,81.44,Doohickey
5,1991-8-9,39.7,Thingamajig
6,2023-5-10,77.14,Whatsit
7,1977-9-27,72.37,Doohickey
8,2015-11-21,4.6,Whatsit
9,2022-1-9,10.47,Thingamajig
10,1980-7-27,80.88,Doohickey
11,2016-6-8,47.33,Thingamajig
12,2001-5-25,88.08,Thingamajig
13,1992-6-20,11.72,Whatsit
14,2016-9-7,7.04,Doohickey
15,2014-10-24,79.73,Doohickey
16,1985-6-6,84.07,Doohickey
17,1993-5-25,7.11,Whatsit
18,1974-6-26,39.48,Thingamajig
19,1970-9-20,38.51,Thingamajig
20,1979-10-22,35.21,Thingamajig
21,2021-2-14,59.91,Doohickey
22,1978-10-12,32.5,Thingamajig
23,1988-4-16,47.44,Whatsit
24,2017-9-3,73.9,Whatsit
25,2005-5-6,24.58,Thingamajig
26,1973-9-23,6.79,Doohickey
27,2014-8-14,88.61,Thingamajig
28,2016-3-13,52.75,Thingamajig
29,2021-2-18,67.22,Doohickey
30,1981-10-1,0.07,Thingamajig
31,2024-2-5,51.16,Doohickey
32,2012-7-16,19.85,Doohickey
33,2001-8-16,45.35,Doohickey
34,2008-3-4,52.13,Doohickey
35,2011-10-26,37.68,Thingamajig
36,1988-11-25,82.19,Thingamajig
37,1996-4-22,95.82,Thingamajig
38,1978-6-19,91.81,Thingamajig
39,1999-1-23,29.86,Doohickey
40,2025-4-20,71.63,Doohickey
41,2005-11-12,63.82,Thingamajig
42,1994-10-18,72.15,Thingamajig
43,2013-4-25,19.22,Whatsit
44,2012-1-23,39.27,Whatsit
45,2009-10-10,55.52,Whatsit
46,2013-8-27,69.34,Doohickey
47,1993-6-16,28.66,Doohickey
48,2025-2-10,55.94,Doohickey
49,1989-9-23,12.46,Thingamajig
50,1983-3-11,20.5,Doohickey
51,2025-2-2,86.43,Whatsit
52,1981-11-9,89.36,Whatsit
53,2020-1-25,86.46,Doohickey
54,1976-8-13,26.46,Thingamajig
55,2008-6-17,65.18,Whatsit
56,2000-1-12,61.73,Thingamajig
57,2010-9-22,40.67,Doohickey
58,2006-7-21,86.16,Whatsit
59,1981-2-14,65.89,Thingamajig
60,1973-11-9,65.6,Whatsit
61,2010-5-27,14.39,Thingamajig
62,1973-3-23,61.58,Whatsit
63,1983-9-11,8.65,Doohickey
64,1987-5-7,30.07,Doohickey
65,1993-1-12,67.24,Thingamajig
66,1978-10-1,94.11,Thingamajig
67,1971-4-23,90.82,Doohickey
68,2004-1-12,85.02,Thingamajig
69,1992-11-16,61.67,Doohickey
70,1970-6-2,6.37,Doohickey
71,1982-4-18,86.47,Thingamajig
72,1997-8-3,66.43,Thingamajig
73,1993-10-24,51.93,Doohickey
74,1995-4-18,27.25,Whatsit
75,1999-4-16,90.73,Whatsit
76,1993-11-8,42.54,Doohickey
77,2009-1-16,22.21,Doohickey
78,1971-10-22,71.88,Thingamajig
79,1997-10-25,57.44,Doohickey
80,1989-9-19,17.71,Doohickey
81,1993-2-27,57.11,Whatsit
82,1992-11-24,93.37,Whatsit
83,2018-5-20,39.38,Thingamajig
84,2025-5-19,88.03,Thingamajig
85,1977-6-21,33.59,Thingamajig
86,1979-1-27,98.54,Thingamajig
87,1982-11-20,16.29,Doohickey
88,1996-1-9,81.84,Whatsit
89,2013-7-22,94.89,Doohickey
90,1979-8-12,85.95,Whatsit
91,2024-3-26,88.21,Thingamajig
92,1992-4-2,16.46,Whatsit
93,2022-1-5,4.5,Thingamajig
94,1974-10-6,21.31,Thingamajig
95,1997-8-2,18.84,Thingamajig
96,1981-6-1,42.37,Thingamajig
97,1969-5-26,80.66,Whatsit
98,1997-2-7,12.75,Whatsit
99,2000-9-26,36.93,Whatsit
100,2010-4-4,26.35,Doohickey
101,1981-10-15,80.76,Whatsit
102,2011-9-18,86.32,Doohickey
103,2022-4-27,42.39,Whatsit
104,2021-4-17,45.59,Doohickey
105,2016-11-12,38.66,Doohickey
106,1972-5-13,90.86,Whatsit
107,2017-11-1,18.41,Thingamajig
108,1970-3-6,26.35,Whatsit
109,1997-5-20,58.08,Thingamajig
110,1970-1-2,80.36,Whatsit
111,1990-2-21,20.56,Whatsit
112,1974-11-25,62.96,Whatsit
113,2003-5-21,30.22,Thingamajig
114,1974-7-26,32.15,Doohickey
115,2001-4-15,99.78,Thingamajig
116,2013-3-10,95.26,Whatsit
117,2018-3-3,74.81,Thingamajig
118,1980-1-24,59.44,Whatsit
119,1988-8-23,17.32,Thingamajig
120,2001-6-25,6.25,Whatsit
121,1975-9-4,0.55,Doohickey
122,2023-4-5,67.91,Whatsit
123,1984-9-15,26.6,Thingamajig
124,1992-6-3,25.45,Doohickey
125,1982-1-6,42.8,Thingamajig
126,1971-11-25,87.98,Whatsit
127,2023-7-14,29.43,Thingamajig
128,1983-9-8,87.99,Whatsit
129,2023-9-12,64.53,Thingamajig
130,1998-6-1,86.48,Thingamajig
131,2011-6-15,62.24,Thingamajig
132,2008-8-11,4.8,Thingamajig
133,2024-11-23,99.7,Thingamajig
134,2004-2-2,24.63,Thingamajig
135,1992-4-11,31.83,Thingamajig
136,2008-8-6,44.89,Doohickey
137,1980-7-24,77.52,Thingamajig
138,2019-8-4,82.76,Whatsit
139,1983-4-19,99.19,Thingamajig
140,1993-6-3,17.23,Whatsit
141,2021-11-18,90.77,Thingamajig
142,1989-8-17,16.39,Whatsit
143,1997-2-27,5.49,Doohickey
144,2021-9-23,66.76,Whatsit
145,1978-3-11,61.51,Doohickey
146,2001-8-5,43.39,Thingamajig
147,1986-4-26,44.47,Whatsit
148,1988-6-11,66.84,Doohickey
149,1981-8-22,13.54,Doohickey
150,2022-7-6,87.06,Doohickey
151,1992-11-20,12.08,Thingamajig
152,1986-8-27,98.47,Whatsit
153,2023-3-20,82.74,Whatsit
154,2009-8-9,16.42,Thingamajig
155,1982-10-5,5.96,Whatsit
156,2022-9-10,55.9,Whatsit
157,1989-8-23,83.32,Whatsit
158,2021-3-22,31.57,Doohickey
159,1977-1-13,4.9,Whatsit
160,1992-1-17,7.58,Whatsit
161,1970-2-24,1.07,Whatsit
162,2009-6-5,39.31,Whatsit
163,2011-9-13,31.61,Doohickey
164,2007-4-13,71.53,Whatsit
165,1974-4-9,3.03,Doohickey
166,1990-7-3,52.39,Whatsit
167,2004-11-2,90.72,Thingamajig
168,2001-8-18,35.23,Whatsit
169,1976-1-15,37.18,Thingamajig
170,1993-8-14,24.11,Whatsit
171,2010-6-17,78.63,Thingamajig
172,2003-7-25,61.36,Thingamajig
173,1971-4-24,45.35,Whatsit
174,1986-6-10,99.42,Thingamajig
175,1969-11-18,81.63,Thingamajig
176,1991-6-16,72.81,Thingamajig
177,1975-11-20,28.02,Doohickey
178,1971-9-4,23.58,Whatsit
179,2006-1-7,14.31,Thingamajig
180,1970-10-24,3.16,Thingamajig
181,1989-8-3,80.44,Thingamajig
182,1989-8-23,99.6,Whatsit
183,2012-3-15,1.77,Thingamajig
184,1976-11-24,32.02,Doohickey
185,1969-2-19,66.34,Thingamajig
186,2022-8-27,27.24,Thingamajig
187,2003-6-12,75.81,Whatsit
188,1970-8-12,98.51,Doohickey
189,1982-9-22,7.46,Doohickey
190,2008-9-12,87.7,Whatsit
191,1971-1-25,38.02,Whatsit
192,1990-6-14,0.94,Whatsit
193,1984-3-24,45.05,Thingamajig
194,1996-8-19,60.87,Whatsit
195,1985-6-6,40.53,Doohickey
196,1994-11-23,45.59,Thingamajig
197,2021-8-4,73.13,Whatsit
198,2017-4-20,74.47,Thingamajig
199,2007-10-20,49.34,Whatsit
200,2007-3-20,3.59,Thingamajig
201,2023-7-5,51.98,Thingamajig
202,2012-5-17,88.69,Whatsit
203,2006-11-10,84.21,Doohickey
204,2018-11-19,71.18,Doohickey
205,1972-1-20,85.45,Whatsit
206,2000-10-3,13.59,Thingamajig
207,1984-7-26,74.17,Thingamajig
208,2015-9-16,5.64,Doohickey
209,1988-7-25,85.82,Whatsit
210,1992-3-16,41.72,Thingamajig
211,1977-6-13,28.68,Thingamajig
212,1989-8-4,27.01,Whatsit
213,1993-2-21,55.79,Thingamajig
214,1974-11-22,53.75,Thingamajig
215,1975-3-20,0.19,Thingamajig
216,1975-10-12,33.84,Doohickey
217,1988-10-2,89,Whatsit
218,2024-9-18,21.25,Doohickey
219,2023-3-1,6.18,Whatsit
220,1977-10-7,80.36,Thingamajig
221,2025-2-21,27.61,Thingamajig
222,2018-8-10,87.03,Thingamajig
223,2011-5-2,86.16,Whatsit
224,1974-5-5,1.69,Thingamajig
225,1978-4-24,18.06,Doohickey
226,2022-10-26,51.38,Thingamajig
227,1990-3-13,92.16,Whatsit
228,1994-4-17,54.24,Whatsit
229,2001-1-2,75.04,Whatsit
230,1979-1-19,30.13,Doohickey
231,2007-10-3,50.06,Whatsit
232,2007-2-17,59,Doohickey
233,2001-6-12,97.37,Doohickey
234,1974-6-16,79.22,Doohickey
235,1989-3-8,83.66,Thingamajig
236,1984-8-7,96.97,Doohickey
237,2015-6-4,79.39,Doohickey
238,1987-8-19,99.66,Thingamajig
239,2023-5-19,63.08,Whatsit
240,1994-6-12,7.89,Whatsit
241,2019-11-17,26.81,Thingamajig
242,2023-8-7,46.78,Whatsit
243,1982-5-22,25.08,Whatsit
244,2008-4-27,86.44,Whatsit
245,1998-4-8,16.86,Doohickey
246,1969-9-23,67.79,Thingamajig
247,1982-4-25,13.92,Whatsit
248,2011-8-27,52.78,Doohickey
249,1995-4-4,39.12,Doohickey
250,1984-1-25,83.28,Thingamajig
251,2024-7-9,8.34,Doohickey
252,1991-10-12,99.03,Thingamajig
253,1998-7-12,15.78,Thingamajig
254,2014-2-26,9.62,Doohickey
255,2005-5-7,32.85,Whatsit
256,2021-7-17,76.99,Thingamajig
257,1984-2-24,27.7,Whatsit
258,2010-3-14,91.72,Doohickey
259,1986-11-22,99.44,Thingamajig
260,1988-11-26,98.28,Doohickey
261,2003-8-22,66.35,Thingamajig
262,1994-11-16,78.72,Doohickey
263,1969-1-22,89.95,Whatsit
264,1996-5-10,63.48,Whatsit
265,2000-3-12,90.44,Thingamajig
266,1996-7-16,28.56,Thingamajig
267,1995-5-10,68.26,Thingamajig
268,1988-1-16,23.37,Thingamajig
269,2019-2-15,91.25,Doohickey
270,1979-6-19,71.88,Whatsit
271,2005-6-16,6.99,Whatsit
272,2020-3-24,2.44,Thingamajig
273,1984-4-22,60.38,Doohickey
274,1982-2-21,0.29,Thingamajig
275,1995-10-3,23.62,Doohickey
276,1990-10-7,82.58,Whatsit
277,2001-8-2,10.27,Whatsit
278,1975-7-25,69.75,Whatsit
279,2012-7-2,47.45,Doohickey
280,2004-6-9,53.04,Doohickey
281,2017-5-11,18.85,Whatsit
282,1991-6-25,25.84,Thingamajig
283,1996-10-26,80.64,Doohickey
284,2008-4-17,81.67,Doohickey
285,2020-4-2,57.19,Thingamajig
286,2003-3-24,64.39,Whatsit
287,2004-11-5,74.09,Doohickey
288,1976-2-15,52.24,Thingamajig
289,2003-11-6,11.87,Doohickey
290,2016-2-25,38.44,Doohickey
291,1973-10-21,12.11,Doohickey
292,1989-2-19,42.39,Doohickey
293,1993-11-8,32.04,Thingamajig
294,1988-3-19,10.26,Whatsit
295,1985-10-11,88.49,Thingamajig
296,2002-10-23,88.02,Doohickey
297,1989-6-13,15.4,Whatsit
298,1976-1-26,26.04,Whatsit
299,2019-9-23,61.11,Doohickey
300,1989-2-22,91.06,Whatsit
301,1999-4-25,97.03,Thingamajig
302,2025-9-9,59.9,Whatsit
303,1997-1-15,92.16,Thingamajig
304,1998-10-18,79.64,Doohickey
305,1984-8-1,20.2,Doohickey
306,2018-10-14,33.82,Thingamajig
307,2003-9-13,16.65,Thingamajig
308,2001-1-6,22.49,Thingamajig
309,1992-11-16,49.34,Doohickey
310,2001-3-21,70.59,Thingamajig
311,1976-9-9,33.42,Thingamajig
312,1991-4-11,32.61,Doohickey
313,2008-11-13,32.05,Thingamajig
314,1989-5-4,77.88,Thingamajig
315,2005-3-5,79.27,Thingamajig
316,2012-11-16,69.1,Thingamajig
317,1997-8-4,28.88,Doohickey
318,1980-7-15,93.46,Whatsit
